,stars,comments
0,4.0 stars,"  Pros:• USB-C, Finally! As a past Surface Pro user, this was never a feature. With a USB-C, like any computer, you can do so much more with this device now. From headphones to connecting external 4k monitors, to charging this and other devices (USB-C chargers are 10x cheaper to get), to even connecting an Ethernet adaptor. About time Microsoft.• It’s a very sold machine. I go no flex issues, the frame feels sturdy, and overall I felt that I can throw this in a bag and not worry.• It’s light. Not IPad light, but enough that you won’t feel worried that you’re not going to bend it.• The microphone set up on the Pro is a big upgrade. Skype calls from my parents came crisp and clear in an indoor, TV on, volume. The web video is what it is, but the microphone setup is a thumbs up.• Cortana listens to you pretty well. I’m learning Spanish so translating even simple questions, from English to Spanish, Cortana does a lot better than either using Alexa or Google Assistant. Also questions about directions, weather, and others were spot on.• Excellent display. The screen is bright, outstanding saturation/color balance, and also offers ambient light sensing when it gets dark. When you go to settings you can modify it for a specific time, or it will automatically adjust when the sun goes down in your location.• Microsoft mastered the kickstand on this. Numerous ranges of all angels, and is even quite steady when it’s placed on my lap.• microSD reader (for upgraded memory option)• Headphone Jack. I find this feature a must if you’re planning to edit videos on this.• Solid State Drive (SDD) on a tablet size is one of the best things. If you have to choose, always an SSD, regardless of memory size. Faster, cooler, and• Charging on this is very fast. From 0 to 50% it took around 45-50 minutes. Note that I was using the charging cords that it came with. Don’t expect the same results when using an off-brand.• A lot of horsepower for a tablet. Inside is an Ice Lake processor. To summarize, it features smaller transistors that makes multi-tasking an non-issue. Trying out for the first time with around 10 apps running (Madden, Netflix, Live Maps, Grand Trims Mo, etc.), the machine had no lag or hiccups. Largely the effects of this chip will be appreciated in the next 2 years from when you get this tablet.• The processor allows Wi-Fi 6 to be enforced on this tablet. This area is still new but within the next year, this tablet will already be up to date with the hardware. Meaning stronger upload and download rates.• The speakers shoot sound directly to my face. Turning on Spotify, I got a decent quality in sound. With rock and country, I got a very balanced, and a lot of power in the volume. For the average listener it’s quite good. Not IPad level but still good to make the list.• I can see the 3:2 screen a benefit for those who want to read, show notes, and display documents at work. Not many tablets can provide this without losing some quality. For me, I saw no waste in this Surface.Cons and Oks:• The chunky bezel. Stick to the times Microsoft, this can’t be ignored in 2019. It’s very thick and with competitors providing bezel-less frames, or close to it, this is a major turn off (Not to mention that Microsoft itself has a Surface Pro X with a design that is significantly less in the bezel. (Why not this one?).• With the bezel issue, the screen size makes the tablet look 2 years older than what it is.• Last year's model and this one are 99% the same in design. Remove the USB-C connector and it’ll be 100% the same. A very outdated design as I think Microsoft invested all their money on the internals and just forgot about the redesigning.• The battery life isn’t great. I’m getting around 8 hours of power. That’s having Wi-Fi always on, web surfing, daily YouTube playing, and a couple of hours with Netflix (plus a couple of smaller apps). It can last a whole day if you control your power and your screen display, but it’s nowhere near what Microsoft is saying.• Don’t take it outside on a sunny day. That sun glare is too powerful for this display brightness.• Keyboard and Surface Pen are sold separately. I didn’t test these as you only get the tablet.• Even though USB-C is a great thing to have, we’re already in the USB 3.1 world. With also no Thunderbolt 3 (quick file transfer) I wish that Microsoft put more effort into the outside design as much as they put in there hardware on this machine.• I found no issue playing Overwatch on this but trying to play Call of Duty forget it. This isn’t for deep gaming and playing Overwatch killed a decent chunk of the battery.Bottom Line:If you’re going to buy this, you need to at least invest in there keyboard cover. It’s disappointing that to fully experience your Pro, you need to put down money on its keyboard and pen. Without a keyboard, from my experience, you’re pretty limited. I used a Logitech Bluetooth keyboard and mouse, but the portably is limited if you can’t attach them to the Surface Pro.Also we're in the age of laptops, tablets, and phones trying to reach the goal to be bezel-less.  I have the previous model on hand and I can’t tell them apart in any way. Thanks to these 2019 new laptops/tablets, the bezels on this device make it feel like this tablet is from 2017. I’m also irritated that Microsoft didn’t at least try to improve the design.But if you can deal with the design (and the battery) issues, you’ll know that Microsoft put all their money on what’s inside the system. From the new core processors, this tablet is a beast. I found it very fast, reliable, and it will stand its ground for 2+ years. For me that’s the beauty of a Surface Pro: a PC in the size of a tablet. I’m always a PC fan and this performs as if I had a laptop on my lap, something an IPad can’t do. If you can deal with the generic bezel look, and put money down for their keyboard, you’re getting a beast of a computer fitting in a tablet.Overall: An outdated design that packs a lot of power for those who want more than just a generic tablet on the go.Hope I was a help to you.Love,Honest Reviewer"
1,2.0 stars,"  Comparing Dell XPS 13, Lenovo Yoga C940 14 and Surface Pro 7 2-in-1's all with i7-1065G7 CPU/GPU.[SP7 PROS:]-Best 3:2 aspect ratio is better for productivity (but screen is uncomfortably small) > XPS 16:10 > Yoga 16:9-IR camera for Windows Hello face sign-in, though not useful when docked or when screen is not at the correct angle-Least weight 2.4 lbs > 3 lbs for others-Quietest fan > Yoga > XPS (loudest)[SP7 CONS:]-Worst battery life (even worse than SP6)-Smallest 12.3"" display with thick bezels-No 4K UHD option (but I recommend FHD with any brand/model for battery life, you can always dock to a larger monitor)-No Thunderbolt 3 with PD/DP (no eGPU)-Keyboard and pen sold separately[XPS PROS:]-Up to 32GB RAM > 16GB on others-Slimmest-Fingerprint reader on power button > Yoga on palmrest > SP7 on non-included $160 Type Cover with Fingerprint ID[XPS CONS:]-No USB-A (deal breaker for me)-No black exterior option. The white interior option keyboard is hard to see with the white backlighting-No far field microphones for Alexa or other assistants-Included charger is only 45W (less than 65W with Yoga/SP7)[YOGA PROS:]-Best screen-to-body ratio (89%) > XPS 84.9% > SP7 76.76%; although the hinge factors into this-Largest screen 14"" > XPS 13.4"" > SP7 12.3""-Deepest key travel, most comfortable keyboard > XPS > SP7-Better Arrow Keys + Home/End/Pg Up/Pg Down layout-INCLUDED garaged pen with internal charging > magnetically attached and not included with purchase on others-Best in class speakers. Rotating soundbar with Dolby Atmos sounds amazing! Gets loud!-Built-in camera shutter-Coolest under heavy load > SP7 gets warm > XPS hottest-Fastest Rapid charge (2 hours in 15 minutes)-Largest 65 WHr battery > XPS 51 WHr > SP7 45 WHr[YOGA CONS:]-Shortest 16:9 aspect ratio with large ""chin"" bezel at bottom of screen face-No MicroSD slot compared to others-Anti-glare customizable option no longer available[CONS OF ALL:]-No HDMI-No dedicated GPU option, though Thunderbolt 3 on XPS and Yoga allows external GPUs for gaming. Not available on SP7. eGPU great for gaming, allows modular upgradability of graphics cards in the future, although they lose ~20% FPS compared to PCIe.[PRICING:]For i7, 16GB, 512GB with Windows 10 Home:YOGA 4K $1785 > XPS 4K + pen $1900 > SP7 FHD + type cover + pen $2160[CONCLUSION:]The SP7 was the most expensive when you add the keyboard and pen. The XPS FHD with 32GB RAM came in at $1730. I would like to see a 32GB 4K 512GB option since I don't need that much on-device storage.All have performance improvements over their predecessors thanks to the new 10th gen Intel i7 processors, LPDDR4x RAM and WiFi 6. The Surface Book 2 is too dated to compare here and is clunkier.It's a toss up between the XPS for its 32GB RAM with taller screen, or the Yoga with its USB-A port, better keyboard, and garaged pen, among other things. The extra RAM comes in useful since the integrated graphics will use some of that. The 16GB models easily ran up to 80% CPU, RAM and GPU when driving 2 external monitors and simultaneously running Chrome with tabs, Office apps, iTunes and light gaming. It often sits at 8GB RAM under normal use.Some may appreciate all the ports being on one side as with the Yoga, or having ports on either side as with the XPS. The dedicated volume rockers on the SP7 comes in handy. The lighter weight of the SP7 made it the first to be grabbed on the go for content consumption or note taking, but I prefer the Yoga for content creation with it's larger screen and comfy keyboard. If you're docking all day and only occasionally need to be on the go then I recommend the XPS for its 32GB RAM. The perfect laptop is not quite here yet."
2,5.0 stars,"  I'm seeing complaints about how this isn't a major redesign of the Pro 6. That may be true, but the internals are where it's at. I mean, I love this thing. It's like having a decently powerful desktop PC in the form factor of a tablet, which can quickly become a laptop. For instance, I installed an Xbox Game Pass game (Ori and the Blind Forest) and it ran amazingly smooth; I had no idea a 12 inch tablet could run a game with Xbox One-quality graphics even in 2019. Sure, it's not gonna run Gears 5 in 4K, but how many tablets can say they can run even a game like Ori at decent settings?People keep saying ""it's just like the Pro 6 but with a USB-C connector!"" But it's been confirmed by multiple sources that the Pro 7's i5 processor is better than the Pro 6's i7 processor. And yeah, having a USB-C connector is pretty nice.Yes, the bezels are slightly thicker than most 2019 phones and tablets, but it's a non-issue for me. I use the Surface in tablet mode and it would be incredibly annoying to accidentally touch things on the screen because there's nowhere to put my hands for the sake of A E S T H E T I C S. It's a silly complaint, in my opinion.I'm a grad student, so I need to be able to plop down anywhere -- the library, a cafe, my mom's house, a friend's house, wherever -- and get work done in a way that my phone simply isn't right for. But I also want to be able to stream movies, edit videos, play videogames, and so on. So far, the Surface Pro 7 has done everything I want and more.Literally the only bummer is that Microsoft STILL isn't bundling the type cover in with the tablet. Springing an extra $150 for something that feels like an essential part of the package is a huge bummer. I wish they could figure out a way to include the type cover, even if they have to make some compromises."
3,1.0 stars,"  Purchased this item trying to make sure I got the right item and non-defective so I went with the one sold by Amazon.com. I opened it and started filling out all my information, applying a screen protector and all of this for nothing but madness. I wasted many hours out of my day just to end up returning this item. This was actually labeled with a label printer as Surface Pro 7 on the box but I wanted to make sure I got the right product which I didn't! I actually got a Surface Pro 6. I did not know if this was an intentional scam for all customers or I just had a fluke. Anyways here are the pictures and now I'll be exchanging the item for this same exact one... I mean an actual Surface Pro 7. MAKE SURE TO CHECK YOUR MODEL ONCE YOU RECEIVE THIS ITEM!"
4,1.0 stars,"  Is not a surface pro 7, is not intel core i5, doesn’t have type c port, doesn’t have 8 Gb ram.....I feel cheated!!!! I need a explanation and my money back"
5,1.0 stars,"  Well where do i start..... i ended up getting my item and everything was good for about 20mins of use... however after 20mins my screen would freeze for 10-30 secs. I blew it off at first but then it happen 10mins after then it became a often issue. So i ended up going for an exchange. (The worst idea I’ve ever had). I called up amazon and told them my issue and they were quick to get me a replacement so as first i was satisfied until the surface pro 7 came in the next day. I open the box to find out the box it comes in is not only damage but in a renewed box didn’t even come in the same box it should have come in, then i open that to see the surface pro and the screen film wrapped around it was really dirty as if they dropped it in dirt or so and fingerprints all over the machine. So at this point I’m just hoping it works. This one was not charged at all at 15% like it usually is if you were to buy from Microsoft or an apple device would normally be. So i put it on the charger to find out that it not only has screen tear straight down the middle of the screen but a big red dot half the size of the screen was on there as if they drop the surface pro. So at this point i immediately call amazon and i talked to a representative that ended up giving me a hard time about another replacement even though this one was obviously there fault. So i ended up talking to a supervisor that ended up giving me a hard time as well and in the she said to me that they only do a exchange once but as a one time exception they’ll do the exchange to which i responded with i only want to do the exchange if it’s a brand new product that they are giving me not a renewed one and undamaged. To which she agreed that she would make sure it would be done and put in her notes so the wear house  knows. Well the next day came and guess what.... the man that drops it off throws my package at the wall of my house from a big distance he didn’t see me at all so when i raced over the man jumped in his car and quickly drove away knowing what he did. Not only this but when i open the box the surface pro again was in a dirty renewed box, at this point I’m just hoping it still even worked again no power so i plug it in and guess what it works surprisingly after all that. However i Notice something was different with the boot up process so i knew something was wrong i go to the setting of the computer and the version i bought was 8gb of ram i5 model with 128gb of memory the one i receive as a replacement this time was a 4gb version i5 model with 128gb of memory and GUESS WHAT A DIFFERENT GRAPHICS CARD AS WELL. The surface pro 7 i got not only had 4gb of ram which was wrong but a different graphics card as well that comes in a surface pro 5 are you serious.... so i called up customer service again asking for a supervisor yet again..... just wanting a refund the man told me well i see here that you have a couple of exchange for this device already so i told him this story i am telling now and ask him i wonder why i have “a couple of exchanges” to which he said well instead of a refund i can get you a brand new one and told me how he had to make a couple of phone calls to do this for me so i told him this is the last exchange I’ll be getting ill be asking for a refund next like i previously wanted..if the next one comes in the renewed box which that would mean it’s used.. if it’s broken or the wrong model I’m done with trying and I’m done with the surface pro 7. not only was this the worst experience with amazon that I’ve ever had and worst costumer Service but now I’m going to hate the surface pro 7 because of this. I’ll see what i receive next as of 02/23/2020Sorry for the long review but i felt my experience should be shared for others to see."
6,5.0 stars,  Very please with the easy setup and you'd expect. Powerful i7 processor and 16GB RAM. I am able to run Photoshop and other editing software with no issues. No Lag when using multiple apps like Xbox Live and Netflix. Overall super pleased with new tablet! Still connects to the same dock!
7,5.0 stars,"  I initially bought a Surface Go(8gb) for a gift and when I had it in my hands I fell in love with the Surface. I had to get one for myself. Since I didn't find another 8gb surface go model, I went w/ the Pro 7 i5/8gb model myself. I am in love with this device. Watching netflix is great,  Illustrator and other drawing software works great w/ the surface pen. Keyboard took a few minutes to get the hang of it and I quite enjoy it, it works well. It is a bit heavy when holding it w/ one hand (this is why I loved the Surface GO version for normal tablet use) but it is quite light overall.Also tested a few games and it actually surprised me a bit tacking into account this is the i5 model. I am able to play Halo Reach just fine, (note that I had to lower the resolution down to 1080p) and it plays good. Minecraft plays really well. I didnt actually get this for gaming ( lol ) but it plays light games just great (of course it gets warm w/ Reach). StardewValley FTW! Currently this is my primary device and it performs extremely well. If you have the extra cash, do go for the i7 model mainly for the 16gb of RAM. OS consumes around 2.5-3GB of ram, so that doesnt leave much left on the 8GB model. I personally did not have an extra 500$ just to get the i7 model."
8,1.0 stars,  The product does not come with original packaging. It is a generic cardboard box
9,5.0 stars,"  My previous laptop was a godzilla, 15 inch monitor, weighs like 3 pounds or something (2014 model). I was looking for something that had the horsepower for what I needed, but also the lightness to carry it around. Although battery life isnt, the best, I DON'T MIND!This thing is a beast! Im very happy running programs like tableau, zoom, excel, powerpoint, all at the same time and with various files and this thing doesn't even flinch. The first few hours setting up and downloading all the programs it felt a big sluggish and I was starting to get worried. Once that was done, it started to fly.Yes, the rotating screen isnt as flawless as apple's iPad. That said, I bought this not to look pretty, i bought it to be my tool in battle. Being able to run all the programs that a regular PC can run is the main decision I went for Microsoft Surface.  The only downside is that Microsoft is a bit costly on the accessories front.I recommend this piece of tech to anyone who needs to travel or is on the move.  I'm a relatively big guy and i've had no major problem with the size of the keyboard. I do put it FLAT on tables because my keystrokes tend to be pretty hard and the keyboard is the most (in my opinion) fragile of the accessories.Lastly, the Pen interface is not perfect YET but oh man, as a first timer working with it, it kicks total ass and makes note taking in OneNote a complete positive trip."
